iteracao,melhor_makespan
1,169.0000
2,168.0000
3,168.0000
4,168.0000
5,168.0000
6,168.0000
7,168.0000
8,168.0000
9,168.0000
10,168.0000
11,168.0000
12,161.0000
13,161.0000
14,161.0000
15,161.0000
16,161.0000
17,161.0000
18,161.0000
19,161.0000
20,161.0000
21,161.0000
22,161.0000
23,161.0000
24,161.0000
25,161.0000
26,161.0000
27,161.0000
28,161.0000
29,161.0000
30,161.0000
31,161.0000
32,161.0000
33,161.0000
34,161.0000
35,161.0000
36,161.0000
37,161.0000
38,161.0000
39,161.0000
40,161.0000
41,161.0000
42,161.0000
43,161.0000
44,161.0000
45,161.0000
46,161.0000
47,161.0000
48,161.0000
49,161.0000
50,161.0000
51,161.0000
52,161.0000
53,161.0000
54,161.0000
55,161.0000
56,161.0000
57,161.0000
58,161.0000
59,161.0000
60,161.0000
61,161.0000
62,161.0000
63,161.0000
64,161.0000
65,161.0000
66,161.0000
67,161.0000
68,161.0000
69,161.0000
70,161.0000
71,161.0000
72,161.0000
73,161.0000
74,161.0000
75,161.0000
76,161.0000
77,161.0000
78,161.0000
79,161.0000
80,161.0000
81,161.0000
82,161.0000
83,161.0000
84,161.0000
85,161.0000
86,161.0000
87,161.0000
88,161.0000
89,161.0000
90,161.0000
91,161.0000
92,161.0000
93,161.0000
94,161.0000
95,161.0000
96,160.0000
97,160.0000
98,160.0000
99,160.0000
100,160.0000
101,160.0000
102,160.0000
103,160.0000
104,160.0000
105,160.0000
106,160.0000
107,160.0000
108,160.0000
109,160.0000
110,160.0000
111,160.0000
112,160.0000
113,160.0000
114,160.0000
115,160.0000
116,160.0000
117,160.0000
118,160.0000
119,160.0000
120,160.0000
121,160.0000
122,160.0000
123,160.0000
124,160.0000
125,160.0000
126,160.0000
127,160.0000
128,160.0000
129,160.0000
130,160.0000
131,160.0000
132,160.0000
133,160.0000
134,160.0000
135,160.0000
136,160.0000
137,160.0000
138,160.0000
139,160.0000
140,160.0000
141,160.0000
142,160.0000
143,160.0000
144,160.0000
145,160.0000
146,160.0000
147,160.0000
148,160.0000
149,160.0000
150,160.0000
151,160.0000
152,160.0000
153,160.0000
154,160.0000
155,160.0000
156,160.0000
157,160.0000
158,160.0000
159,160.0000
160,160.0000
161,160.0000
162,160.0000
163,160.0000
164,160.0000
165,160.0000
166,160.0000
167,160.0000
168,160.0000
169,160.0000
170,160.0000
171,160.0000
172,160.0000
173,160.0000
174,160.0000
175,160.0000
176,160.0000
177,160.0000
178,160.0000
179,160.0000
180,160.0000
181,160.0000
182,160.0000
183,160.0000
184,160.0000
185,160.0000
186,160.0000
187,160.0000
188,160.0000
189,160.0000
190,160.0000
191,160.0000
192,160.0000
193,160.0000
194,160.0000
195,160.0000
196,160.0000
197,160.0000
198,160.0000
199,160.0000
200,160.0000
201,160.0000
202,160.0000
203,160.0000
204,160.0000
205,160.0000
206,160.0000
207,160.0000
208,160.0000
209,160.0000
210,160.0000
211,160.0000
212,160.0000
213,160.0000
214,160.0000
215,160.0000
216,160.0000
217,160.0000
218,160.0000
219,160.0000
220,160.0000
221,160.0000
222,160.0000
223,160.0000
224,160.0000
225,160.0000
226,160.0000
227,160.0000
228,160.0000
229,160.0000
230,160.0000
231,160.0000
232,160.0000
233,160.0000
234,160.0000
235,160.0000
236,160.0000
237,160.0000
238,160.0000
239,160.0000
240,160.0000
241,160.0000
242,160.0000
243,160.0000
244,160.0000
245,160.0000
246,160.0000
247,160.0000
248,160.0000
249,160.0000
250,160.0000
251,160.0000
252,160.0000
253,160.0000
254,160.0000
255,160.0000
256,160.0000
257,160.0000
258,160.0000
259,160.0000
260,160.0000
261,160.0000
262,160.0000
263,160.0000
264,160.0000
265,160.0000
266,160.0000
267,160.0000
268,160.0000
269,160.0000
270,160.0000
271,160.0000
272,160.0000
273,160.0000
274,160.0000
275,160.0000
276,160.0000
277,160.0000
278,160.0000
279,160.0000
280,160.0000
281,160.0000
282,160.0000
283,160.0000
284,160.0000
285,160.0000
286,160.0000
287,160.0000
288,160.0000
289,160.0000
290,160.0000
291,160.0000
292,160.0000
293,160.0000
294,160.0000
295,160.0000
296,160.0000
297,160.0000
298,160.0000
299,160.0000
300,160.0000
