iteracao,melhor_makespan
1,48.0000
2,48.0000
3,48.0000
4,47.0000
5,47.0000
6,46.0000
7,45.0000
8,45.0000
9,45.0000
10,45.0000
11,45.0000
12,45.0000
13,45.0000
14,45.0000
15,45.0000
16,45.0000
17,45.0000
18,45.0000
19,45.0000
20,45.0000
21,45.0000
22,45.0000
23,45.0000
24,45.0000
25,45.0000
26,45.0000
27,45.0000
28,45.0000
29,45.0000
30,45.0000
31,45.0000
32,45.0000
33,45.0000
34,45.0000
35,45.0000
36,45.0000
37,45.0000
38,45.0000
39,45.0000
40,45.0000
41,45.0000
42,45.0000
43,45.0000
44,45.0000
45,45.0000
46,45.0000
47,45.0000
48,45.0000
49,45.0000
50,45.0000
51,45.0000
52,45.0000
53,45.0000
54,45.0000
55,45.0000
56,45.0000
57,45.0000
58,45.0000
59,45.0000
60,45.0000
61,45.0000
62,45.0000
63,45.0000
64,45.0000
65,45.0000
66,45.0000
67,45.0000
68,45.0000
69,45.0000
70,45.0000
71,45.0000
72,45.0000
73,45.0000
74,45.0000
75,45.0000
76,45.0000
77,45.0000
78,45.0000
79,45.0000
80,45.0000
81,45.0000
82,45.0000
83,45.0000
84,44.0000
85,44.0000
86,44.0000
87,44.0000
88,44.0000
89,44.0000
90,44.0000
91,44.0000
92,44.0000
93,44.0000
94,44.0000
95,44.0000
96,44.0000
97,44.0000
98,44.0000
99,44.0000
100,44.0000
101,44.0000
102,44.0000
103,44.0000
104,44.0000
105,44.0000
106,44.0000
107,44.0000
108,44.0000
109,44.0000
110,44.0000
111,44.0000
112,44.0000
113,44.0000
114,44.0000
115,44.0000
116,44.0000
117,44.0000
118,44.0000
119,44.0000
120,44.0000
121,44.0000
122,44.0000
123,44.0000
124,44.0000
125,44.0000
126,44.0000
127,44.0000
128,44.0000
129,44.0000
130,44.0000
131,44.0000
132,44.0000
133,44.0000
134,44.0000
135,44.0000
136,44.0000
137,44.0000
138,44.0000
139,44.0000
140,44.0000
141,44.0000
142,44.0000
143,44.0000
144,44.0000
145,44.0000
146,44.0000
147,44.0000
148,44.0000
149,44.0000
150,44.0000
151,44.0000
152,44.0000
153,44.0000
154,44.0000
155,44.0000
156,44.0000
157,44.0000
158,44.0000
159,44.0000
160,44.0000
161,44.0000
162,44.0000
163,44.0000
164,44.0000
165,44.0000
166,44.0000
167,44.0000
168,44.0000
169,44.0000
170,44.0000
171,44.0000
172,44.0000
173,44.0000
174,44.0000
175,44.0000
176,44.0000
177,44.0000
178,44.0000
179,44.0000
180,44.0000
181,44.0000
182,44.0000
183,44.0000
184,44.0000
185,44.0000
186,44.0000
187,44.0000
188,44.0000
189,44.0000
190,44.0000
191,44.0000
192,44.0000
193,44.0000
194,44.0000
195,44.0000
196,44.0000
197,44.0000
198,44.0000
199,44.0000
200,44.0000
