iteracao,melhor_makespan
1,7.8571
2,7.7857
3,7.7600
4,7.7600
5,7.7600
6,7.7500
7,7.7500
8,7.7500
9,7.7500
10,7.7500
11,7.7500
12,7.7222
13,7.7222
14,7.5556
15,7.5556
16,7.5556
17,7.5556
18,7.5556
19,7.5556
20,7.5556
21,7.5556
22,7.5556
23,7.5556
24,7.5556
25,7.5556
26,7.5556
27,7.5556
28,7.5556
29,7.5556
30,7.5556
31,7.5556
32,7.5556
33,7.5556
34,7.5556
35,7.5556
36,7.5556
37,7.5556
38,7.5556
39,7.5556
40,7.5556
41,7.5556
42,7.5556
43,7.5556
44,7.5556
45,7.5556
46,7.5556
47,7.5556
48,7.5556
49,7.5556
50,7.5556
51,7.5556
52,7.5556
53,7.5556
54,7.5556
55,7.5556
56,7.5556
57,7.5556
58,7.5556
59,7.5556
60,7.5556
61,7.5556
62,7.5556
63,7.5556
64,7.5556
65,7.5556
66,7.5556
67,7.5556
68,7.5556
69,7.5556
70,7.5556
71,7.5556
72,7.5556
73,7.5556
74,7.5556
75,7.5556
76,7.5556
77,7.5556
78,7.5556
79,7.5556
80,7.5556
81,7.5556
82,7.5556
83,7.5556
84,7.5556
85,7.5556
86,7.5556
87,7.5556
88,7.5556
89,7.5556
90,7.5556
91,7.5556
92,7.5556
93,7.5556
94,7.5556
95,7.5556
96,7.5556
97,7.5556
98,7.5556
99,7.5556
100,7.5556
101,7.5556
102,7.5556
103,7.5556
104,7.5556
105,7.5556
106,7.5556
107,7.5556
108,7.5556
109,7.5556
110,7.5556
111,7.5556
112,7.5556
113,7.5556
114,7.5556
115,7.5556
116,7.5556
117,7.5556
118,7.5556
119,7.5556
120,7.5556
121,7.5556
122,7.4375
123,7.4375
124,7.4375
125,7.4375
126,7.4375
127,7.4375
128,7.4375
129,7.4375
130,7.4375
131,7.4375
132,7.4375
133,7.4375
134,7.4375
135,7.4375
136,7.4375
137,7.4375
138,7.4375
139,7.4375
140,7.4375
141,7.4375
142,7.4375
143,7.4375
144,7.4375
145,7.4375
146,7.4375
147,7.4375
148,7.4375
149,7.4375
150,7.4375
151,7.4375
152,7.4375
153,7.4375
154,7.4375
155,7.4375
156,7.4375
157,7.4375
158,7.4375
159,7.4375
160,7.4375
161,7.4375
162,7.4375
163,7.4375
164,7.4375
165,7.4375
166,7.4375
167,7.4375
168,7.4375
169,7.4375
170,7.4375
171,7.4375
172,7.4375
173,7.4375
174,7.4375
175,7.4375
176,7.4375
177,7.4375
178,7.4375
179,7.4375
180,7.4375
181,7.4375
182,7.4375
183,7.4375
184,7.4375
185,7.4375
186,7.4375
187,7.4375
188,7.4375
189,7.4375
190,7.4375
191,7.4375
192,7.4375
193,7.4375
194,7.4375
195,7.4375
196,7.4375
197,7.4375
198,7.4375
199,7.4375
200,7.4375
201,7.4375
202,7.4375
203,7.4375
204,7.4375
205,7.4375
206,7.4375
207,7.4375
208,7.4375
209,7.4375
210,7.4375
211,7.4375
212,7.4375
213,7.4375
214,7.4375
215,7.4375
216,7.4375
217,7.4375
218,7.4375
219,7.4375
220,7.4375
221,7.4375
222,7.4375
223,7.4375
224,7.4375
225,7.4375
226,7.4375
227,7.4375
228,7.4375
229,7.4375
230,7.4375
231,7.4375
232,7.4375
233,7.4375
234,7.4375
235,7.4375
236,7.4375
237,7.4375
238,7.4375
239,7.4375
240,7.4375
241,7.4375
242,7.4375
243,7.4375
244,7.4375
245,7.4375
246,7.4375
247,7.4375
248,7.4375
249,7.4375
250,7.4375
251,7.4375
252,7.4375
253,7.4375
254,7.4375
255,7.4375
256,7.4375
257,7.4375
258,7.4375
259,7.4375
260,7.4375
261,7.4375
262,7.4375
263,7.4375
264,7.4375
265,7.4375
266,7.4375
267,7.4375
268,7.4375
269,7.4375
270,7.4375
271,7.4375
272,7.4375
273,7.4375
274,7.4375
275,7.4375
276,7.4375
277,7.4375
278,7.4375
279,7.4375
280,7.4375
281,7.4375
282,7.4375
283,7.4375
284,7.4375
285,7.4375
286,7.4375
287,7.4375
288,7.4375
289,7.4375
290,7.4375
291,7.4375
292,7.4375
293,7.4375
294,7.4375
295,7.4375
296,7.4375
297,7.4375
298,7.4375
299,7.4375
300,7.4375
